,geometry,address
59,POINT (84.0917139 28.1083929),"Nepal, Nepal"
60,POINT (102.06908954680432 9.8762687),Gulf of Thailand
61,POINT (-66.4858295 18.2247706),"Puerto Rico, United States"
62,POINT (25.3319078 58.7523778),"Eesti, Eesti"
63,POINT (-79.3666965 -1.3397668),"Ecuador, Ecuador"
64,POINT (29.2675469 26.2540493),"مصر, مصر"
65,POINT (9.400138 33.8439408),"تونس, تونس"
66,POINT (-80.8328748 23.0131338),"Cuba, Cuba"
67,POINT (-84.0739102 10.2735633),"Costa Rica, Costa Rica"
68,POINT (23.7499997 55.3500003),"Lietuva, Lietuva"
69,POINT (107.9650855 15.9266657),"Việt Nam, Việt Nam"
70,POINT (66.7780818 48.1012954),"Қазақстан, Қазақстан"
71,POINT (7.9999721 9.6000359),"Nigeria, Nigeria"
72,POINT (44.6736646 40.7696272),"Հայաստան, Հայաստան"
73,POINT (-56.0201525 -32.8755548),"Uruguay, Uruguay"
74,POINT (117.8902853 -2.4833826),"Indonesia, Indonesia"
75,POINT (24.7537645 56.8406494),"Latvija, Latvija"
76,POINT (6.129799 49.6112768),"Luxembourg, Lëtzebuerg"
77,POINT (71.247499 30.3308401),"پاکستان, پاکستان"
78,POINT (-64.9912286 -17.0568696),"Bolivia, Bolivia"
79,POINT (2.9999825 28.0000272),"الجزائر, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر"
80,POINT (38.6521203 10.2116702),"ኢትዮጵያ / Ethiopia, ኢትዮጵያ"
81,POINT (90.2934413 24.4769288),"বাংলাদেশ, Bangladesh"
82,POINT (57.5703566 -20.2759451),"Mauritius / Maurice, Mauritius"
83,POINT (51.2295295 25.3336984),"قطر, قطر"
84,POINT (165.4880773 -21.3019905),"Nouvelle-Calédonie, France"
85,POINT (-64.7603583 32.3018217),"Bermuda, DV 04, Bermuda"
86,POINT (114.5653908 4.4137155),"Brunei Darussalam, Brunei"
87,POINT (104.8144914 12.5433216),"កម្ពុជា, ព្រះរាជាណាចក្រ​កម្ពុជា"
88,POINT (0.1373909 45.4954904),"Chadurie, 16250, Nouvelle-Aquitaine, France"
89,POINT (47.4979476 29.2733964),"الكويت, الكويت"
90,POINT (19.5180992 42.9868853),"Crna Gora / Црна Гора, Crna Gora / Црна Гора"
91,POINT (-81.1308434 8.559559),"Panama, Panamá"
92,POINT (-68.241578 -16.1479939),"Pico Yugoslavia, Bolivia"
93,POINT (57.0036901 21.0000287),"عمان, عمان"
94,POINT (36.941628 31.1667049),"الأردن, الأردن"
95,POINT (-61.6904045 12.1360374),"Grenada, Grenada"
96,POINT (21.7168387 41.6171214),"Северна Македонија, Северна Македонија"
97,POINT (17.5961467 44.3053476),"Bosna i Hercegovina, Bosna i Hercegovina / Босна и Херцеговина"
98,POINT (-58.6416891 4.8417097),"Guyana, Guyana"
